PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
202704,Reggie Jackson,2019-20,31,24.0,11.9,4.1,3.0,0.4,0.2,1.6,0.411,0.393,0.833,3.5,10.7,2020-21
202704,Reggie Jackson,2020-21,67,23.0,10.7,3.1,2.9,0.6,0.1,1.1,0.45,0.433,0.817,3.7,16.8,2021-22
202704,Reggie Jackson,2021-22,75,31.2,16.8,4.8,3.6,0.7,0.2,2.3,0.392,0.326,0.847,-0.9,10.2,2022-23
202704,Reggie Jackson,2022-23,68,24.4,10.2,3.4,2.1,0.7,0.1,1.7,0.411,0.333,0.91,-1.2,10.2,2023-24
202709,Cory Joseph,2019-20,72,24.4,6.4,3.5,2.6,0.7,0.3,1.1,0.415,0.352,0.857,-0.6,8.2,2020-21
202709,Cory Joseph,2020-21,63,23.0,8.2,3.4,2.5,1.0,0.3,1.3,0.469,0.341,0.818,-3.1,8.0,2021-22
202709,Cory Joseph,2021-22,65,24.6,8.0,3.6,2.7,0.6,0.3,1.3,0.445,0.414,0.885,-3.1,6.9,2022-23
202709,Cory Joseph,2022-23,62,19.8,6.9,3.5,1.7,0.5,0.1,0.9,0.427,0.389,0.792,-1.8,2.4,2023-24
202710,Jimmy Butler III,2019-20,58,33.8,19.9,6.0,6.7,1.8,0.6,2.2,0.455,0.244,0.834,4.4,21.5,2020-21
202710,Jimmy Butler III,2020-21,52,33.6,21.5,7.1,6.9,2.1,0.3,2.1,0.497,0.245,0.863,3.8,21.4,2021-22
202710,Jimmy Butler III,2021-22,57,33.9,21.4,5.5,5.9,1.6,0.5,2.1,0.48,0.233,0.87,4.3,22.9,2022-23
202710,Jimmy Butler III,2022-23,64,33.4,22.9,5.3,5.9,1.8,0.3,1.6,0.539,0.35,0.85,0.7,20.8,2023-24
202711,Bojan Bogdanovic,2019-20,63,33.1,20.2,2.1,4.1,0.5,0.1,2.5,0.447,0.414,0.903,4.2,17.0,2020-21
202711,Bojan Bogdanovic,2020-21,72,30.8,17.0,1.9,3.9,0.6,0.1,1.8,0.439,0.39,0.879,5.8,18.1,2021-22
202711,Bojan Bogdanovic,2021-22,69,30.9,18.1,1.7,4.3,0.5,0.0,1.7,0.455,0.387,0.858,3.2,21.6,2022-23
202711,Bojan Bogdanovic,2022-23,59,32.1,21.6,2.6,3.8,0.6,0.1,2.3,0.488,0.411,0.884,-5.6,15.2,2023-24
202722,Davis Bertans,2019-20,54,29.3,15.4,1.7,4.5,0.7,0.6,1.1,0.434,0.424,0.852,-0.3,11.5,2020-21
202722,Davis Bertans,2020-21,57,25.7,11.5,0.9,2.9,0.6,0.2,0.6,0.404,0.395,0.87,1.9,5.6,2021-22
202722,Davis Bertans,2021-22,56,14.4,5.6,0.6,2.1,0.3,0.2,0.3,0.36,0.335,0.9,0.5,4.6,2022-23
202722,Davis Bertans,2022-23,45,10.9,4.6,0.5,1.2,0.2,0.2,0.2,0.431,0.39,0.867,-0.8,6.7,2023-24
202734,E'Twaun Moore,2019-20,56,18.2,8.3,1.4,2.3,0.6,0.2,0.7,0.426,0.377,0.689,-0.8,4.9,2020-21
202738,Isaiah Thomas,2019-20,40,23.1,12.2,3.7,1.7,0.3,0.2,1.9,0.408,0.413,0.816,-5.0,8.4,2021-22
202954,Brad Wanamaker,2019-20,71,19.3,6.9,2.5,2.0,0.9,0.2,1.1,0.448,0.363,0.926,1.9,5.5,2020-21
202954,Brad Wanamaker,2020-21,61,17.3,5.5,2.9,1.7,0.7,0.2,1.2,0.385,0.188,0.891,-2.1,3.6,2021-22
203076,Anthony Davis,2019-20,62,34.4,26.1,3.2,9.3,1.5,2.3,2.5,0.503,0.33,0.846,3.9,21.8,2020-21
203076,Anthony Davis,2020-21,36,32.3,21.8,3.1,7.9,1.3,1.6,2.1,0.491,0.26,0.738,3.2,23.2,2021-22
203076,Anthony Davis,2021-22,40,35.1,23.2,3.1,9.9,1.2,2.3,2.1,0.532,0.186,0.713,-2.3,25.9,2022-23
203076,Anthony Davis,2022-23,56,34.0,25.9,2.6,12.5,1.1,2.0,2.2,0.563,0.257,0.784,3.7,24.7,2023-24
